Ubigeo,Provincia,Capital,Altitud,Superficie,Populacao,Humedad_relativa,Temp_max,Temp_min
3012, San Antonio de Putina,Putina,3878,,,,,
3013, Moho,Moho,3902,,,,,
2201,Moyobamba,Moyobamba,878,,,,,
2202,Bellavista,Bellavista,285,,,,,
2203,El Dorado,San José de Sisa,346,,,,,
2204,Huallaga,Saposoa,303,,,,,
2205,Lamas,Lamas,791,,,,,
2206,Mariscal Cáceres,Juanjuí,282,,,,,
2207,Picota,Picota,223,,,,,
2208,Rioja,Rioja,841,,,,,
2209,San Martín,Tarapoto,280,,,,,
2210,Tocache,Tocache,502,,,,,
2301,Candarave ,Candarave ,3415,,,,,
2302,Jorge Basadre ,Locumba ,559,,,,,
2303,Tacna ,Tacna ,562,,,,,
2304,Tarata ,Tarata ,2766,,,,,
2401,Tumbes ,Tumbes ,23,,,,,
2402,Zarumilla ,Zarumilla ,5,,,,,
2403,Contralmirante Villar ,Zorritos ,14,,,,,
2501,Coronel Portillo,Pucallpa,157,,,,,
2502,Atalaya,Atalaya,228,,,,,
2503,Padre Abad,Aguaytía,300,,,,,
2504,Purús,Puerto Esperanza,232,,,,,
