Ubigeo,Provincia,Capital,Altitud,Superficie,Poblacion,Temperatura,Humedad_relativa,indice_UV,senamhi_uv
200201,Ayabaca,Ayabaca,1933,,,"14,6",,,12
200301,Huancabamba,Huancabamba,1933,,,19,,,11
200401,Morropón,Chulucanas,92,,,"27,5",,,10
200501,Paita,Paita,2,,,26,76,6,10
200601,Sullana,Sullana,64,,,27,,,10
200701,Talara,Talara,5,,,26,77,7,10
200801,Sechura,Sechura,15,,,26,,,10
211101, San Román ,Juliaca,4135,,,11,57,3,9
210101, Puno ,San Carlos de Puno,3848,,,9,59,3,9
210201, Azángaro ,Azángaro,3859,,,,,,9
210401, Chucuito ,Juli,3888,,,,,,10
210301, Carabaya ,Macusani,4315,,,,,,10
210801, Melgar,Ayaviri,3907,,,,,,9
210501, El Collao ,İlave,3862,,,,,,10
210601, Huancané ,Huancané,3825,,,,,,10
211201, Sandia,Sandia,2178,,,,,,9
210701, Lampa ,Lampa,3892,,,,,,10
211301, Yunguyo , Yunguyo ,3847,,,,,,9
211001, San Antonio de Putina,Putina,3878,,,,,,10
210901, Moho,Moho,3902,,,,,,9
220101,Moyobamba,Moyobamba,878,,,"22,5",,,11
220201,Bellavista,Bellavista,285,,,"26,5",,,10
220301,El Dorado,San José de Sisa,346,,,"25,5",,,10
220401,Huallaga,Saposoa,303,,,"26,5",,,10
220501,Lamas,Lamas,791,,,24,,,10
220601,Mariscal Cáceres,Juanjuí,282,,,27,,,10
220701,Picota,Picota,223,,,"26,5",,,10
220801,Rioja,Rioja,841,,,23,,,11
220901,San Martín,Tarapoto,280,,,"25,1",,,10
221001,Tocache,Tocache,502,,,"21,7",,,10
230201,Candarave ,Candarave ,3415,,,,,,9
230301,Jorge Basadre ,Locumba ,559,,,,,,7
230101,Tacna ,Tacna ,562,,,,,,7
230401,Tarata ,Tarata ,2766,,,21,68,6,8
240101,Tumbes ,Tumbes ,23,,,28,80,7,10
240301,Zarumilla ,Zarumilla ,5,,,"26,5",,,10
240201,Contralmirante Villar ,Zorritos ,14,,,34,,,10
250101,Coronel Portillo,Pucallpa,157,,,31,73,7,10
250201,Atalaya,Atalaya,228,,,26,,,9
250301,Padre Abad,Aguaytía,300,,,31,,,10
250401,Purús,Puerto Esperanza,232,,,"30,5",,,10
